trade_date,index_name,open_price,high_price,low_price,close_price,adj_close,volume
2023-01-02,NIFTY50,18131.69921875,18215.150390625,18086.5,18197.44921875,18197.44921875,256100
2023-01-03,NIFTY50,18163.19921875,18251.94921875,18149.80078125,18232.55078125,18232.55078125,208700
2023-01-04,NIFTY50,18230.650390625,18243.0,18020.599609375,18042.94921875,18042.94921875,235200
2023-01-05,NIFTY50,18101.94921875,18120.30078125,17892.599609375,17992.150390625,17992.150390625,269900
2023-01-06,NIFTY50,18008.05078125,18047.400390625,17795.55078125,17859.44921875,17859.44921875,238200
2023-01-09,NIFTY50,17952.55078125,18141.400390625,17936.150390625,18101.19921875,18101.19921875,257200
2023-01-10,NIFTY50,18121.30078125,18127.599609375,17856.0,17914.150390625,17914.150390625,283300
2023-01-11,NIFTY50,17924.25,17976.349609375,17824.349609375,17895.69921875,17895.69921875,259900
2023-01-12,NIFTY50,17920.849609375,17945.80078125,17761.650390625,17858.19921875,17858.19921875,227800
2023-01-13,NIFTY50,17867.5,17999.349609375,17774.25,17956.599609375,17956.599609375,256700
2023-01-16,NIFTY50,18033.150390625,18049.650390625,17853.650390625,17894.849609375,17894.849609375,206200
2023-01-17,NIFTY50,17922.80078125,18072.05078125,17886.94921875,18053.30078125,18053.30078125,219100
2023-01-18,NIFTY50,18074.30078125,18183.75,18032.44921875,18165.349609375,18165.349609375,255800
2023-01-19,NIFTY50,18119.80078125,18155.19921875,18063.75,18107.849609375,18107.849609375,237800
2023-01-20,NIFTY50,18115.599609375,18145.44921875,18016.19921875,18027.650390625,18027.650390625,237200
2023-01-23,NIFTY50,18118.44921875,18162.599609375,18063.44921875,18118.55078125,18118.55078125,202500
2023-01-24,NIFTY50,18183.94921875,18201.25,18078.650390625,18118.30078125,18118.30078125,216900
2023-01-25,NIFTY50,18093.349609375,18100.599609375,17846.150390625,17891.94921875,17891.94921875,257200
2023-01-27,NIFTY50,17877.19921875,17884.75,17493.55078125,17604.349609375,17604.349609375,476300
2023-01-30,NIFTY50,17541.94921875,17709.150390625,17405.55078125,17648.94921875,17648.94921875,432400
2023-01-31,NIFTY50,17731.44921875,17735.69921875,17537.55078125,17662.150390625,17662.150390625,398300
2023-02-01,NIFTY50,17811.599609375,17972.19921875,17353.400390625,17616.30078125,17616.30078125,512900
2023-02-02,NIFTY50,17517.099609375,17653.900390625,17445.94921875,17610.400390625,17610.400390625,490100
2023-02-03,NIFTY50,17721.75,17870.30078125,17584.19921875,17854.05078125,17854.05078125,424100
2023-02-06,NIFTY50,17818.55078125,17823.69921875,17698.349609375,17764.599609375,17764.599609375,282500
2023-02-07,NIFTY50,17790.099609375,17811.150390625,17652.55078125,17721.5,17721.5,354400
2023-02-08,NIFTY50,17750.30078125,17898.69921875,17744.150390625,17871.69921875,17871.69921875,291000
